,name,title,reportable_compensation,other_compensation
0,STEVE QUAKE,CO-PRESIDENT,836921,42856
1,JOSEPH DERISI,CO-PRESIDENT,836621,42856
2,CORI BARGMANN,DIRECTOR,0,0
3,JOHN HENNESSY,DIRECTOR,0,0
4,MARK ZUCKERBERG,DIRECTOR,0,0
5,PRISCILLA CHAN,DIRECTOR,0,0
6,REID HOFFMAN,DIRECTOR,0,0
7,GAJUS WORTHINGTON,CHIEF OPERATING OFFICER,681698,48751
8,VICTOR COLUNGA,CFO & TREASURER,648222,45392
9,MAUREEN SHEEHY ENDS 01 2021,SECRETARY AND LEGAL COUNSEL,235804,4970
10,SANDRA L SCHMID,CHIEF SCIENTIFIC OFFICER,562983,19747
11,JIM KARKANIAS,CHIEF TECHNOLOGY OFFICER,524041,43064
12,SONYA ZILKA STARTS 01 2021,CHIEF PEOPLE OFFICER,489413,27997
13,ROSIO ALVAREZ,CHIEF INFORMATION OFFICER,458631,21824
14,WILLIAM BURKHOLDER,"DIRECTOR, SCIENTIFIC PROGRAM MANAGEMENT",263150,42633
15,RAFAEL GOMEZ-SJOBERG,"SR. DIRECTOR, BIOENGINEERING",304222,33897
16,ANNETTE PARENT,LEAD IP COUNSEL,307504,25916
17,ASTRID HO,CONTROLLER,260483,45564
18,GREG HUBER,GROUP LEADER II,246138,23718
19,CRISTINA TATO,"DIRECTOR, RAPID RESPONSE TEAM",239807,15135
