,timing,zuck_donated
0,1,1050659
1,2,500000
2,3,80000
3,4,666431
4,5,900000
5,6,25000
6,7,100000
7,8,100000
8,9,150000
9,10,150000
10,11,125000
11,12,200000
12,13,15000
13,14,125000
14,15,14476
15,16,250000
16,17,1000000
17,18,1000000
18,19,200000
19,20,100000
20,21,175000
21,22,100000
22,23,250000
23,24,22243930
24,25,250000
25,26,40000
26,27,75000
27,28,500000
28,29,49999
29,30,175000
30,31,550000
31,32,325000
32,33,250000
33,34,750000
34,35,100000
35,36,100000
36,37,100000
37,38,4500000
38,39,4500000
39,40,30000
40,41,100000
41,42,20000
42,43,150000
43,44,28967
44,45,75000
45,46,100000
46,47,100000
47,48,100000
48,49,100000
49,50,65000
50,51,11133566
51,52,8886379
52,53,4690000
53,54,1277044
54,55,500000
55,56,3500000
56,57,1000000
57,58,500000
58,59,1000000
59,60,1000000
60,61,666431
61,62,900000
62,63,300000
63,64,100000
64,65,378347
65,66,800585
66,67,602049
67,68,750000
68,69,1333333
69,70,1000000
70,71,1000000
71,72,130625
72,73,1000000
73,74,60000000
74,75,2195983
75,76,500000
76,77,1000000
77,78,4000000
78,79,2500000
79,80,239000
80,81,1052469
81,82,1000000
82,83,199988
83,84,600000
84,85,1000000
85,86,750000
86,87,800000
87,88,1000000
88,89,200000
89,90,5350000
90,91,500000
91,92,750000
92,93,750000
93,94,750000
94,95,1000000
95,96,343199
96,97,500000
97,98,9500000
98,99,15000000
99,100,1004000
100,101,50000
101,102,1500000
102,103,400000
103,104,200000
104,105,125000
105,106,275000
106,107,25000
107,108,147000
108,109,380475
109,110,625000
110,111,250000
111,112,63806133
112,113,4900000
113,114,37500
114,115,90000
115,116,178125
116,117,450000
117,118,100000
118,119,150000
119,120,360000
120,121,500000
121,122,300000
122,123,1000000
123,124,150000
124,125,250000
125,126,8442707
126,127,8528162
127,128,4100000
