id,business_name,amount_received,purpose,purpose_amount,city,state
9,FOUNDERS PLEDGE INC,1000000,CHARITY,1000000,NEW YORK,NY
11,ST JUDE CHILDREN'S RESEARCH HOSPITAL,55000000,CHILDREN,55000000,MEMPHIS,TN
34,BROWNSVILLE COMMUNITY IMPROVEMENT CORP,2355000,COMMUNITY SUPPORT,4694325,BROWNSVILLE,TX
7,VIRGINIA 30 DAY FUND,1000000,COMMUNITY SUPPORT,,CHARLOTTESVILLE,VA
35,CITY OF BROWNSVILLE,1339325,COMMUNITY SUPPORT,,BROWNSVILLE,TX
1,BETH ISRAEL DEACONESS MEDICAL CENTER,5000000,COVID-19,5000000,BOSTON,MA
14,AUSTIN DISASTER RELIEF NETWORK,1000000,DISASTER RELIEF,2000000,AUSTIN,TX
37,SBP,1000000,DISASTER RELIEF,,NEW ORLEANS,LA
6,STEAMSPACE EDUCATION OUTREACH,10000,EDUCATION,23143704,AUSTIN,TX
31,PROMESA PUBLIC SCHOOLS,28030,EDUCATION,,AUSTIN,TX
16,BROWNSVILLE INDEPENDENT SCHOOL DISTRICT,4946056,EDUCATION,,BROWNSVILLE,TX
32,ROMAN CATHOLIC DIOCESE OF BROWNSVILLE,10250,EDUCATION,,BROWNSVILLE,TX
41,BROWNSVILLE MUSEUM OF FINE ART,24300,EDUCATION,,BROWNSVILLE,TX
4,SACRED HEART UNIVERSITY,-50000,EDUCATION,,FAIRFIELD,CT
30,HARLINGEN CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,2182553,EDUCATION,,HARLINGEN,TX
25,HARMONY SCIENCE ACADEMY,123453,EDUCATION,,HOUSTON,TX
28,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,46676,EDUCATION,,HOUSTON,TX
20,LA FERIA INDEPENDENT SCHOOL DISTRICT,378403,EDUCATION,,LA FERIA,TX
33,RESPONSIVE EDUCATION SOLUTIONS,22302,EDUCATION,,LEWISVILLE,TX
17,LOS FRESNOS CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,1279503,EDUCATION,,LOS FRESNOS,TX
24,SOUTH TEXAS INDEPENDENT SCHOOL DISTRICT,179756,EDUCATION,,MERCEDES,TX
0,KHAN ACADEMY,5000000,EDUCATION,,MOUNTAIN VIEW,CA
10,DONORSCHOOSEORG,945000,EDUCATION,,NEW YORK,NY
12,UNICEF USA,5000000,EDUCATION,,NEW YORK,NY
21,POINT ISABEL INDEPENDENT SCHOOL DISTRICT,253366,EDUCATION,,PORT ISABEL,TX
23,RIO HONDO INDEPENDENT SCHOOL DISTRICT,213393,EDUCATION,,RIO HONDO,TX
22,JUBILEE ACADEMIES,232040,EDUCATION,,SAN ANTONIO,TX
18,SAN BENITO CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,1245513,EDUCATION,,SAN BENITO,TX
27,SANTA MARIA INDEPENDENT SCHOOL DISTRICT,35669,EDUCATION,,SANTA MARIA,TX
26,SANTA ROSA INDEPENDENT SCHOOL DISTRICT,55584,EDUCATION,,SANTA ROSA,TX
19,IDEA PUBLIC SCHOOLS,941519,EDUCATION,,WESLACO,TX
29,SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC,40338,EDUCATION,,WESLACO,TX
3,FEEDING TEXAS,100000,FOOD,1100000,AUSTIN,TX
13,FEEDING TEXAS,1000000,FOOD,,AUSTIN,TX
36,GOOD NEIGHBOR SETTLEMENT HOUSE INC,208676,HOUSING,208676,BROWNSVILLE,TX
42,THE UNIVERSITY OF TEXAS AT AUSTIN,10000000,RESEARCH,19000000,AUSTIN,TX
8,FUTURE OF LIFE INSTITUTE,4000000,RESEARCH,,CAMBRIDGE,MA
45,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1500000,RESEARCH,,CAMBRIDGE,MA
44,UNIVERSITY OF PENNSYLVANIA,1500000,RESEARCH,,PHILADELPHIA,PA
43,GEORGETOWN UNIVERSITY,2000000,RESEARCH,,WASHINGTON,DC
15,X PRIZE FOUNDATION INC,54000000,TECHNOLOGY,57100000,CULVER CITY,CA
5,SIGNAL TECHNOLOGY FOUNDATION,2000000,TECHNOLOGY,,MOUNTAIN VIEW,CA
2,TESLA SCIENCE CENTER AT WARDENCLYFF,100000,TECHNOLOGY,,SHOREHAM,NY
39,HACK CLUB,1000000,TECHNOLOGY,,WEST HOLLYWOOD,CA
40,THE TRAIL FOUNDATION,50000,TRAIL,50000,AUSTIN,TX
38,BROWNSVILLE WELLNESS COALITION,292000,WELLNESS,292000,BROWNSVILLE,TX
