id,business_name,amount_received,purpose,city,state
5,SIGNAL TECHNOLOGY FOUNDATION,2000000,SUPPORT PROTECTION OF FREE EXPRESSION AND SECURITY OF GLOBAL COMMUNICATION,MOUNTAIN VIEW,CA
6,STEAMSPACE EDUCATION OUTREACH,10000,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,AUSTIN,TX
7,VIRGINIA 30 DAY FUND,1000000,SUPPORT SMALL BUSINESSES AT RISK DUE TO THE COVID-19 CRISIS,CHARLOTTESVILLE,VA
8,FUTURE OF LIFE INSTITUTE,4000000,SUPPORT RESEARCH AND INITIATIVES FOR SAFEGUARDING LIFE AND DEVELOPING OPTIMISTIC VISIONS OF THE FUTURE,CAMBRIDGE,MA
9,FOUNDERS PLEDGE INC,1000000,SUPPORT CHARITABLE GIVING,NEW YORK,NY
10,DONORSCHOOSEORG,945000,SUPPORT EDUCATION OF STUDENTS IN NEED,NEW YORK,NY
11,ST JUDE CHILDREN'S RESEARCH HOSPITAL,55000000,SUPPORT RESEARCH AND TREATMENT OF PEDIATRIC CATASTROPHIC DISEASES,MEMPHIS,TN
12,UNICEF USA,5000000,SUPPORT EDUCATION OF STUDENTS IN NEED,NEW YORK,NY
13,FEEDING TEXAS,1000000,SUPPORT WINTER STORM URI DISASTER RELIEF,AUSTIN,TX
14,AUSTIN DISASTER RELIEF NETWORK,1000000,SUPPORT WINTER STORM URI DISASTER RELIEF,AUSTIN,TX
15,X PRIZE FOUNDATION INC,54000000,SUPPORT TECHNOLOGICAL DEVELOPMENT FOR CARBON REMOVAL,CULVER CITY,CA
16,BROWNSVILLE INDEPENDENT SCHOOL DISTRICT,4946056,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,BROWNSVILLE,TX
17,LOS FRESNOS CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,1279503,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,LOS FRESNOS,TX
18,SAN BENITO CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,1245513,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,SAN BENITO,TX
19,IDEA PUBLIC SCHOOLS,941519,SUPPORT EDUCATION OF STUDENTS FROM UNDERSERVED COMMUNITIES,WESLACO,TX
20,LA FERIA INDEPENDENT SCHOOL DISTRICT,378403,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,LA FERIA,TX
21,POINT ISABEL INDEPENDENT SCHOOL DISTRICT,253366,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,PORT ISABEL,TX
22,JUBILEE ACADEMIES,232040,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,SAN ANTONIO,TX
23,RIO HONDO INDEPENDENT SCHOOL DISTRICT,213393,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,RIO HONDO,TX
24,SOUTH TEXAS INDEPENDENT SCHOOL DISTRICT,179756,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,MERCEDES,TX
25,HARMONY SCIENCE ACADEMY,123453,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,HOUSTON,TX
26,SANTA ROSA INDEPENDENT SCHOOL DISTRICT,55584,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,SANTA ROSA,TX
27,SANTA MARIA INDEPENDENT SCHOOL DISTRICT,35669,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,SANTA MARIA,TX
28,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,46676,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,HOUSTON,TX
29,SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC,40338,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,WESLACO,TX
30,HARLINGEN CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,2182553,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,HARLINGEN,TX
31,PROMESA PUBLIC SCHOOLS,28030,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,AUSTIN,TX
32,ROMAN CATHOLIC DIOCESE OF BROWNSVILLE,10250,SUPPORT GUADALUPE MIDDLE SCHOOL OPERATIONS AND PROGRAMS,BROWNSVILLE,TX
33,RESPONSIVE EDUCATION SOLUTIONS,22302,SUPPORT SCHOOL OPERATIONS AND PROGRAMS,LEWISVILLE,TX
34,BROWNSVILLE COMMUNITY IMPROVEMENT CORP,2355000,SUPPORT DOWNTOWN BROWNSVILLE BUSINESS IMPROVEMENT AND GROWTH PROGRAMS,BROWNSVILLE,TX
35,CITY OF BROWNSVILLE,1339325,SUPPORT COMMUNITY IMPROVEMENT AND PAYMENT OF CITY EXPENSES,BROWNSVILLE,TX
36,GOOD NEIGHBOR SETTLEMENT HOUSE INC,208676,SUPPORT SOCIAL SERVICES FOR PEOPLE IN NEED,BROWNSVILLE,TX
37,SBP,1000000,SUPPORT HURRICANE IDA DISASTER RELIEF,NEW ORLEANS,LA
38,BROWNSVILLE WELLNESS COALITION,292000,SUPPORT CULTIVATION OF HEALTHY FOOD AND LIFESTYLES,BROWNSVILLE,TX
39,HACK CLUB,1000000,SUPPORT CODING EDUCATION,WEST HOLLYWOOD,CA
40,THE TRAIL FOUNDATION,50000,SUPPORT PROTECTION OF THE BUTLER TRAIL,AUSTIN,TX
41,BROWNSVILLE MUSEUM OF FINE ART,24300,SUPPORT ART EDUCATION AND CULTURAL ENRICHMENT,BROWNSVILLE,TX
