business_name,amount_received,purpose
ADDGENE INC,1050659,HEALTH
ALAMEDA COUNTY PUBLIC HEALTH DEPARTMENT,500000,HEALTH
BATTELLE FOR KIDS,80000,CHILDREN
BAYLOR COLLEGE OF MEDICINE,666431,HEALTH
BELOVED COMMUNITY INC,900000,COMMUNITY SUPPORT
ABUNDANT HOUSING LA ACTION FUND,25000,HOUSING
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,COMMUNITY SUPPORT
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,COMMUNITY SUPPORT
AMERICA IS BETTER,150000,IMMIGRATION REFORM
AMERICAN BUSINESS IMMIGRATION COALITION ACTION,150000,IMMIGRATION REFORM
AMERICA'S VOICE,125000,ADVOCACY
BAY AREA HOUSING ADVOCACY COALITION,200000,HOUSING
BAY AREA HOUSING ADVOCACY COALITION,15000,HOUSING
BIPARTISAN POLICY CENTER ACTION INC,125000,IMMIGRATION REFORM
CALIFORNIA YIMBY,14476,COMMUNITY SUPPORT
CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,250000,JUSTICE
CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,JUSTICE
CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,JUSTICE
CASA DE MARYLAND INC,200000,IMMIGRATION REFORM
CASA IN ACTION INC,100000,IMMIGRATION REFORM
CENTER FOR AMERICAN PROGRESS ACTION FUND,175000,IMMIGRATION REFORM
COUNTY OF ALAMEDA CA,100000,HOUSING
DRUG POLICY ACTION,250000,ADVOCACY
FWDUS INC,22243930,IMMIGRATION REFORM
FWDUS INC,250000,IMMIGRATION REFORM
INSTITUTE FOR HIGHER EDUCATION POLICY,40000,EDUCATION
JUSTICE AND ACCOUNTABILITY CENTER OF LOUISIANA,75000,JUSTICE
MORE TREATMENT FOR A BETTER OREGON YES ON 110,500000,COMMUNITY SUPPORT
NEIGHBORS FOR AN AFFORDABLE SAN JOSE,49999,HOUSING
NISKANEN CENTER FOR PUBLIC POLICY INC,175000,IMMIGRATION REFORM
NPH ACTION FUND,550000,ADVOCACY
NPH ACTION FUND,325000,HOUSING
OKLAHOMANS FOR CRIMINAL JUSTICE REFORM ACTION INC,250000,JUSTICE
PICO CALIFORNIA ACTION FUND,750000,HOUSING
PICO CALIFORNIA ACTION FUND,100000,HOUSING
PRISON FELLOWSHIP MINISTRIES,100000,JUSTICE
SAN MATEANS FOR AFFORDABLE HOUSING,100000,HOUSING
SCHOOLS AND COMMUNITIES FIRST,4500000,EDUCATION
SCHOOLS AND COMMUNITIES FIRST,4500000,EDUCATION
SILICON VALLEY RISING ACTION,30000,ADVOCACY
SIXTEEN THIRTY FUND,100000,ADVOCACY
SOCIAL GOOD ADVOCACY FUND INC,20000,HOUSING
SOCIAL GOOD ADVOCACY FUND INC,150000,TECHNOLOGY
THE ADVOCACY FUND,28967,JUSTICE
THE COLLEGE AND COMMUNITY FELLOWSHIP INC,75000,EDUCATION
TIDES ADVOCACY,100000,JUSTICE
VITAL STRATEGIES INC,100000,COVID-19
VITAL STRATEGIES INC,100000,COVID-19
YES ON 16 OPPORTUNITY FOR ALL COALITION,100000,ADVOCACY
YIMBY ACTION,65000,HOUSING
STANFORD UNIVERSITY,11133566,HEALTH
UC SAN FRANCISCO,8886379,HEALTH
UC BERKELEY,4690000,HEALTH
ACTIVATE GLOBAL INC,1277044,TECHNOLOGY
AFRICAN AMERICAN POLICY FORUM,500000,MINORITY
ALLIANCE FOR SAFETY AND JUSTICE,3500000,JUSTICE
AMERICAN INDIAN COLLEGE FUND,1000000,MINORITY
ANTI-RECIDIVISM COALITION,500000,JUSTICE
ASIAN AMERICAN FUTURES,1000000,MINORITY
ASIAN AMERICANS ADVANCING JUSTICE - ASIAN LAW CAUCUS,1000000,MINORITY
BAYLOR COLLEGE OF MEDICINE,666431,HEALTH
BELOVED COMMUNITY INC,900000,COMMUNITY SUPPORT
BENOLA,300000,MINORITY
BLUE GRASS COMMUNITY FOUNDATION INC,100000,EDUCATION
BROAD INSTITUTE INC,378347,HEALTH
BROAD INSTITUTE INC,800585,HEALTH
BROAD INSTITUTE INC,602049,HEALTH
CALIFORNIANS FOR JUSTICE EDUCATION FUND INC,750000,JUSTICE
CARBON180,1333333,ENVIRONMENT
CARBON180,1000000,ENVIRONMENT
CENTER FOR COLLABORATIVE EDUCATION INC,1000000,EDUCATION
CENTER FOR COMMUNITY SELF-HELP,130625,COMMUNITY SUPPORT
CENTER FOR DEMOCRACY AND TECHNOLOGY,1000000,ADVOCACY
CHAN ZUCKERBERG BIOHUB INC,60000000,MEDICAL RESEARCH
CHAN ZUCKERBERG BIOHUB INC,2195983,MEDICAL RESEARCH
CHEYENNE RIVER YOUTH PROJECT,500000,GENERAL OPERATING SUPPORT
CHIEFS FOR CHANGE,1000000,GENERAL OPERATING SUPPORT
CIVIC NATION,4000000,COVID-19 COMMUNICATION
CLIMATEWORKS FOUNDATION,2500000,CARBON DIOXIDE REMOVAL PROGRAM
