,id,timing,business_name,amount_received,purpose,city,state,zuck_cumulative
0,0,1,ADDGENE INC,1050659,GENERAL OPERATING SUPPORT,WATERTOWN,MA,1050659
1,1,2,ALAMEDA COUNTY PUBLIC HEALTH DEPARTMENT,500000,GENERAL OPERATING SUPPORT,OAKLAND,CA,1550659
2,2,3,BATTELLE FOR KIDS,80000,STUDENT ASSESSMENT RESEARCH,HILLIARD,OH,1630659
3,3,4,BAYLOR COLLEGE OF MEDICINE,666431,SEED NETWORK GRANT,HOUSTON,TX,2297090
4,4,5,BELOVED COMMUNITY INC,900000,GENERAL OPERATING SUPPORT,NEW ORLEANS,LA,3197090
5,5,6,ABUNDANT HOUSING LA ACTION FUND,25000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA,3222090
6,6,7,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,AFFORDABLE HOUSING,LOS ANGELES,CA,3322090
7,7,8,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,AFFORDABLE HOUSING,LOS ANGELES,CA,3422090
8,8,9,AMERICA IS BETTER,150000,IMMIGRATION REFORM,WASHINGTON,DC,3572090
9,9,10,AMERICAN BUSINESS IMMIGRATION COALITION ACTION,150000,IMMIGRATION REFORM,CHICAGO,IL,3722090
10,10,11,AMERICA'S VOICE,125000,GENERAL OPERATING SUPPORT,WASHINGTON,DC,3847090
11,11,12,BAY AREA HOUSING ADVOCACY COALITION,200000,GENERAL OPERATING SUPPORT,SAN FRANCISCO,CA,4047090
12,12,13,BAY AREA HOUSING ADVOCACY COALITION,15000,AFFORDABLE HOUSING,SAN FRANCISCO,CA,4062090
13,13,14,BIPARTISAN POLICY CENTER ACTION INC,125000,IMMIGRATION REFORM,WASHINGTON,DC,4187090
14,14,15,CALIFORNIA YIMBY,14476,GENERAL OPERATING SUPPORT,SACRAMENTO,CA,4201566
15,15,16,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,250000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA,4451566
16,16,17,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA,5451566
17,17,18,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA,6451566
18,18,19,CASA DE MARYLAND INC,200000,IMMIGRATION REFORM,HYATTSVILLE,MD,6651566
19,19,20,CASA IN ACTION INC,100000,IMMIGRATION REFORM,HYATTSVILLE,MD,6751566
20,20,21,CENTER FOR AMERICAN PROGRESS ACTION FUND,175000,IMMIGRATION REFORM,WASHINGTON,DC,6926566
21,21,22,COUNTY OF ALAMEDA CA,100000,AFFORDABLE HOUSING,ALAMEDA,CA,7026566
22,22,23,DRUG POLICY ACTION,250000,GENERAL OPERATING SUPPORT,NEW YORK,NY,7276566
23,23,24,FWDUS INC,22243930,GENERAL OPERATING SUPPORT,WASHINGTON,DC,29520496
24,24,25,FWDUS INC,250000,IMMIGRATION REFORM,WASHINGTON,DC,29770496
25,25,26,INSTITUTE FOR HIGHER EDUCATION POLICY,40000,PELL GRANT ELIGIBILITY,WASHINGTON,DC,29810496
26,26,27,JUSTICE AND ACCOUNTABILITY CENTER OF LOUISIANA,75000,CLEAN SLATE REFORM,NEW ORLEANS,LA,29885496
27,27,28,MORE TREATMENT FOR A BETTER OREGON YES ON 110,500000,GENERAL OPERATING SUPPORT,PORTLAND,OR,30385496
28,28,29,NEIGHBORS FOR AN AFFORDABLE SAN JOSE,49999,AFFORDABLE HOUSING,SAN FRANCISCO,CA,30435495
29,29,30,NISKANEN CENTER FOR PUBLIC POLICY INC,175000,IMMIGRATION REFORM,WASHINGTON,DC,30610495
30,30,31,NPH ACTION FUND,550000,LEGISLATIVE ADVOCACY,SAN FRANCISCO,CA,31160495
31,31,32,NPH ACTION FUND,325000,AFFORDABLE HOUSING,SAN FRANCISCO,CA,31485495
32,32,33,OKLAHOMANS FOR CRIMINAL JUSTICE REFORM ACTION INC,250000,GENERAL OPERATING SUPPORT,OKLAHOMA CITY,OK,31735495
33,33,34,PICO CALIFORNIA ACTION FUND,750000,GENERAL OPERATING SUPPORT,OAKLAND,CA,32485495
34,34,35,PICO CALIFORNIA ACTION FUND,100000,AFFORDABLE HOUSING,OAKLAND,CA,32585495
35,35,36,PRISON FELLOWSHIP MINISTRIES,100000,CRIMINAL JUSTICE REFORM,LANDOWNE,VA,32685495
36,36,37,SAN MATEANS FOR AFFORDABLE HOUSING,100000,AFFORDABLE HOUSING,BURLINGAME,CA,32785495
37,37,38,SCHOOLS AND COMMUNITIES FIRST,4500000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA,37285495
38,38,39,SCHOOLS AND COMMUNITIES FIRST,4500000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA,41785495
39,39,40,SILICON VALLEY RISING ACTION,30000,GENERAL OPERATING SUPPORT,SAN JOSE,CA,41815495
40,40,41,SIXTEEN THIRTY FUND,100000,CLEAN SLATE REFORM,WASHINGTON,DC,41915495
41,41,42,SOCIAL GOOD ADVOCACY FUND INC,20000,AFFORDABLE HOUSING,PORT TOWNSEND,WA,41935495
42,42,43,SOCIAL GOOD ADVOCACY FUND INC,150000,TECH EQUITY,PORT TOWNSEND,WA,42085495
43,43,44,THE ADVOCACY FUND,28967,CRIMINAL JUSTICE REFORM,SAN FRANCISCO,CA,42114462
44,44,45,THE COLLEGE AND COMMUNITY FELLOWSHIP INC,75000,PELL GRANT ELIGIBILITY,NEW YORK,NY,42189462
45,45,46,TIDES ADVOCACY,100000,CRIMINAL JUSTICE REFORM,SAN FRANCISCO,CA,42289462
46,46,47,VITAL STRATEGIES INC,100000,COVID-19 RESPONSE,NEW YORK,NY,42389462
47,47,48,VITAL STRATEGIES INC,100000,COVID-19 RESPONSE,NEW YORK,NY,42489462
48,48,49,YES ON 16 OPPORTUNITY FOR ALL COALITION,100000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA,42589462
49,49,50,YIMBY ACTION,65000,AFFORDABLE HOUSING,SAN FRANCISCO,CA,42654462
50,50,51,STANFORD UNIVERSITY,11133566,SCIENTIFIC AND MEDICAL RESEARCH,PALO ALTO,CA,53788028
51,51,52,UC SAN FRANCISCO,8886379,SCIENTIFIC AND MEDICAL RESEARCH,SAN FRANCISCO,CA,62674407
52,52,53,UC BERKELEY,4690000,SCIENTIFIC AND MEDICAL RESEARCH,BERKELEY,CA,67364407
53,53,54,ACTIVATE GLOBAL INC,1277044,CARBON DIOXIDE REMOVAL INNOVATIONS,BERKELEY,CA,68641451
54,54,55,AFRICAN AMERICAN POLICY FORUM,500000,GENERAL OPERATING SUPPORT,NEW YORK,NY,69141451
55,55,56,ALLIANCE FOR SAFETY AND JUSTICE,3500000,GENERAL OPERATING SUPPORT,OAKLAND,CA,72641451
56,56,57,AMERICAN INDIAN COLLEGE FUND,1000000,GENERAL OPERATING SUPPORT,DENVER,CO,73641451
57,57,58,ANTI-RECIDIVISM COALITION,500000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA,74141451
58,58,59,ASIAN AMERICAN FUTURES,1000000,ADVANCE AAPI LEADERSHIP AND VOICE,IRVINE,CA,75141451
